"name","synonym"
"the last shadow puppets","the last shadow puppets"
"ben folds five","ben folds five"
"luciano pavarotti","luciano pavarotti"
"fagner","fagner"
"him","him"
"inna","inna"
"korpiklaani","korpiklaani"
"amadou mariam","amadou mariam"
"caetano veloso","caetano veloso"
"ella fitzgerald","ella fitzgerald"
"chip","chip"
"dawes","dawes"
"courtney barnett","courtney barnett"
"real life","real life"
"celtic woman","celtic woman"
"rosa de saron","rosa de saron"
"jonathan roy","jonathan roy"
"damares","damares"
"marcos witt","marcos witt"
"black flag","black flag"
"warren zevon","warren zevon"
"david bowie","david bowie"
"fat joe","fat joe"
"richard clayderman","richard clayderman"
"the lemonheads","the lemonheads"
"dj shadow","dj shadow"
"dream evil","dream evil"
"geraldo azevedo","geraldo azevedo"
"burning spear","burning spear"
"steel pulse","steel pulse"
"smoke city","smoke city"
"10000 maniacs","10000 maniacs"
"prong","prong"
"double you","double you"
"tricky","tricky"
"peter murphy","peter murphy"
"agridoce","agridoce"
"jamie cullum","jamie cullum"
"elaine martins","elaine martins"
"shakin stevens","shakin stevens"
"ivete sangalo","ivete sangalo"
"thalles roberto","thalles roberto"
"martinho da vila","martinho da vila"
"adoniran barbosa","adoniran barbosa"
"ben loncle soul","ben loncle soul"
"the word alive","the word alive"
"the kills","the kills"
"aaron neville","aaron neville"
"cartola","cartola"
"sublime with rome","sublime with rome"
"lindsay lohan","lindsay lohan"
"rory gallagher","rory gallagher"
"rodolfo abrantes","rodolfo abrantes"
"fernandinho","fernandinho"
"voz da verdade","voz da verdade"
"paula fernandes","paula fernandes"
"killing joke","killing joke"
"erasmo carlos","erasmo carlos"
"haikaiss","haikaiss"
"plebe rude","plebe rude"
"thiaguinho","thiaguinho"
"carl perkins","carl perkins"
"charice","charice"
"wyclef jean","wyclef jean"
"mc g15","mc g15"
"cocteau twins","cocteau twins"
"the beautiful girls","the beautiful girls"
"scarface","scarface"
"kari jobe","kari jobe"
"the lonely island","the lonely island"
"chantal kreviazuk","chantal kreviazuk"
"big star","big star"
"real estate","real estate"
"garbage","garbage"
"babyface","babyface"
"os serranos","os serranos"
"vander lee","vander lee"
"pato banton","pato banton"
"tribalistas","tribalistas"
"mc fioti","mc fioti"
"44","44"
"baianasystem","baianasystem"
"gal costa","gal costa"
"ministry","ministry"
"almir sater","almir sater"
"morphine","morphine"
"cut copy","cut copy"
"sleigh bells","sleigh bells"
"ton carfi","ton carfi"
"paulo ricardo","paulo ricardo"
"esperanza spalding","esperanza spalding"
"daniela mercury","daniela mercury"
"apocalyptica","apocalyptica"
"dan auerbach","dan auerbach"
"luiz melodia","luiz melodia"
"hank williams","hank williams"
"tokio hotel","tokio hotel"
"animal collective","animal collective"
"low","low"
"mr big","mr big"
"babybird","babybird"
"talking heads","talking heads"
"almir guineto","almir guineto"
"akcent","akcent"
"social distortion","social distortion"
"cradle of filth","cradle of filth"
"eluveitie","eluveitie"
"maxi priest","maxi priest"
"building 429","building 429"
"john prine","john prine"
"black uhuru","black uhuru"
"king crimson","king crimson"
"john martyn","john martyn"
"marina lima","marina lima"
"al jarreau","al jarreau"
"kenny g","kenny g"
"steve vai","steve vai"
"rodriguinho","rodriguinho"
"kittie","kittie"
"focus","focus"
"orianthi","orianthi"
"alexandre pires","alexandre pires"
"ludmila ferber","ludmila ferber"
"yanni","yanni"
"kymani marley","kymani marley"
"david quinlan","david quinlan"
"drake bell","drake bell"
"natiruts","natiruts"
"paulinho moska","paulinho moska"
"infected mushroom","infected mushroom"
"the maine","the maine"
"genesis","genesis"
"maximum the hormone","maximum the hormone"
"raphael saadiq","raphael saadiq"
"mc lan","mc lan"
"children of bodom","children of bodom"
"lara fabian","lara fabian"
"mayhem","mayhem"
"oficina g3","oficina g3"
"stratovarius","stratovarius"
"ana carolina","ana carolina"
"the raconteurs","the raconteurs"
"kelly rowland","kelly rowland"
"bauhaus","bauhaus"
"joe bonamassa","joe bonamassa"
"calcinha preta","calcinha preta"
"nancy sinatra","nancy sinatra"
"slade","slade"
"nada surf","nada surf"
"jammil e uma noites","jammil e uma noites"
"jonny lang","jonny lang"
"malta","malta"
"ian brown","ian brown"
"elmore james","elmore james"
"marjorie estiano","marjorie estiano"
"cachorro grande","cachorro grande"
"giorgio moroder","giorgio moroder"
"chris de burgh","chris de burgh"
"bill haley his comets","bill haley his comets"
"clara nunes","clara nunes"
"minor threat","minor threat"
"band of skulls","band of skulls"
"ultravox","ultravox"
"survivor","survivor"
"ira","ira"
"pg","pg"
"pinback","pinback"
"something corporate","something corporate"
"average white band","average white band"
"the devil wears prada","the devil wears prada"
"zizi possi","zizi possi"
"exile","exile"
"cheiro de amor","cheiro de amor"
"young money","young money"
"kutless","kutless"
"fela kuti","fela kuti"
"conecrewdiretoria","conecrewdiretoria"
"jerry smith","jerry smith"
"14 bis","14 bis"
"os travessos","os travessos"
"kemuel","kemuel"
"anjos de resgate","anjos de resgate"
"primal scream","primal scream"
"basshunter","basshunter"
"36 crazyfists","36 crazyfists"
"eric saade","eric saade"
"agnostic front","agnostic front"
"jon mclaughlin","jon mclaughlin"
"belchior","belchior"
"laura pausini","laura pausini"
"eddie dee","eddie dee"
"eros ramazzotti","eros ramazzotti"
"less than jake","less than jake"
"bokaloka","bokaloka"
"r5","r5"
"aqua timez","aqua timez"
"face to face","face to face"
"emmerson nogueira","emmerson nogueira"
"marcelo camelo","marcelo camelo"
"xuxa","xuxa"
"danni carlos","danni carlos"
"the crystal method","the crystal method"
"bad company","bad company"
"belle sebastian","belle sebastian"
"stevie b","stevie b"
"isaac hayes","isaac hayes"
"deadmau5","deadmau5"
"nico touches the walls","nico touches the walls"
"the rasmus","the rasmus"
"jowell randy","jowell randy"
"ayumi hamasaki","ayumi hamasaki"
"gilberto e gilmar","gilberto e gilmar"
"lacuna coil","lacuna coil"
"the magnetic fields","the magnetic fields"
"amorphis","amorphis"
"palavra cantada","palavra cantada"
"blitz","blitz"
"etta jones","etta jones"
"the 69 eyes","the 69 eyes"
"the trashmen","the trashmen"
"bezerra da silva","bezerra da silva"
"paradise lost","paradise lost"
"third day","third day"
"the donnas","the donnas"
"4 non blondes","4 non blondes"
"gerson rufino","gerson rufino"
"belo","belo"
"circle jerks","circle jerks"
"strike","strike"
"davi sacer","davi sacer"
"manowar","manowar"
"saint etienne","saint etienne"
"lamb","lamb"
"lakeside","lakeside"
"matanza","matanza"
"kelly key","kelly key"
"stray cats","stray cats"
"the smiths","the smiths"
"os monarcas","os monarcas"
"jads jadson","jads jadson"
"luciana mello","luciana mello"
"the edwin hawkins singers","the edwin hawkins singers"
"michael w smith","michael w smith"
"solomon burke","solomon burke"
"taj mahal","taj mahal"
"judy and mary","judy and mary"
"burzum","burzum"
"death","death"
"renascer praise","renascer praise"
"wanda jackson","wanda jackson"
"mercyful fate","mercyful fate"
"teresa cristina","teresa cristina"
"secret service","secret service"
"zeca pagodinho","zeca pagodinho"
"gary clark jr","gary clark jr"
"karametade","karametade"
"bronski beat","bronski beat"
"dev","dev"
"emily osment","emily osment"
"cherish","cherish"
"glasvegas","glasvegas"
"lucas lucco","lucas lucco"
"chamillionaire","chamillionaire"
"testament","testament"
"ara ketu","ara ketu"
"costa gold","costa gold"
"imaginasamba","imaginasamba"
"banda calypso","banda calypso"
"judy collins","judy collins"
"diogo nogueira","diogo nogueira"
"willie dixon","willie dixon"
"sak noel","sak noel"
"lil kim","lil kim"
"vanguart","vanguart"
"forfun","forfun"
"avantasia","avantasia"
"eyshila","eyshila"
"perlla","perlla"
"venom","venom"
"ladytron","ladytron"
"annihilator","annihilator"
"paulinho da viola","paulinho da viola"
"rose nascimento","rose nascimento"
"everything everything","everything everything"
"yes","yes"
"joe satriani","joe satriani"
"paulo cesar baruk","paulo cesar baruk"
"angra","angra"
"jeito moleque","jeito moleque"
"pato fu","pato fu"
"cliff richard","cliff richard"
"iced earth","iced earth"
"the horrors","the horrors"
"grandmaster flash","grandmaster flash"
"september","september"
"bonde da stronda","bonde da stronda"
"freedom call","freedom call"
"gotye","gotye"
"kitaro","kitaro"
"moony","moony"
"ben folds","ben folds"
"moraes moreira","moraes moreira"
"oswaldo montenegro","oswaldo montenegro"
"chicabana","chicabana"
"shaman","shaman"
"pacificadores","pacificadores"
"johnny rivers","johnny rivers"
"isabella taviani","isabella taviani"
"bow wow wow","bow wow wow"
"o rappa","o rappa"
"moleca 100 vergonha","moleca 100 vergonha"
"hateen","hateen"
"jair rodrigues","jair rodrigues"
"johnny winter","johnny winter"
"led zeppelin","led zeppelin"
"cezar paulinho","cezar paulinho"
"lush","lush"
"lauriete","lauriete"
"edward maya","edward maya"
"boogie down productions","boogie down productions"
"raquel mello","raquel mello"
"axel rudi pell","axel rudi pell"
"scracho","scracho"
"alesana","alesana"
"dimmu borgir","dimmu borgir"
"vanessa hudgens","vanessa hudgens"
"benny benassi","benny benassi"
"yngwie malmsteen","yngwie malmsteen"
"loreena mckennitt","loreena mckennitt"
"kansas","kansas"
"os originais do samba","os originais do samba"
"guilherme arantes","guilherme arantes"
"nelson cavaquinho","nelson cavaquinho"
"luiz marenco","luiz marenco"
"planet hemp","planet hemp"
"edguy","edguy"
"the baseballs","the baseballs"
"lagwagon","lagwagon"
"marina elali","marina elali"
"elza soares","elza soares"
"fernanda brum","fernanda brum"
"zimbra","zimbra"
"bad manners","bad manners"
"marcelo d2","marcelo d2"
"lucy alves","lucy alves"
"simone","simone"
"maysa","maysa"
"five","five"
"poets of the fall","poets of the fall"
"godspeed you black emperor","godspeed you black emperor"
"chrigor","chrigor"
"david cook","david cook"
"king diamond","king diamond"
"andain","andain"
"talisman","talisman"
"infinite","infinite"
"freddie aguilar","freddie aguilar"
"sampa crew","sampa crew"
"groundation","groundation"
"marc almond","marc almond"
"ss501","ss501"
"dyland lenny","dyland lenny"
"small faces","small faces"
"kara","kara"
"ivan lins","ivan lins"
"x japan","x japan"
"epmd","epmd"
"scarlet pleasure","scarlet pleasure"
"public image ltd","public image ltd"
"jaci velasquez","jaci velasquez"
"cauby peixoto","cauby peixoto"
"elizeth cardoso","elizeth cardoso"
"anselmo ralph","anselmo ralph"
"b2k","b2k"
"whigfield","whigfield"
"the automatic","the automatic"
"norman blake","norman blake"
"lucky dube","lucky dube"
"netinho","netinho"
"paul brandt","paul brandt"
"klb","klb"
"aphrodites child","aphrodites child"
"the gladiators","the gladiators"
"no use for a name","no use for a name"
"cassiano","cassiano"
"mv bill","mv bill"
"ed motta","ed motta"
"johnny guitar watson","johnny guitar watson"
"psy","psy"
"toro y moi","toro y moi"
"gaither vocal band","gaither vocal band"
"capital inicial","capital inicial"
"negra li","negra li"
"ao cubo","ao cubo"
"sentenced","sentenced"
"kurtis blow","kurtis blow"
"theatre of tragedy","theatre of tragedy"
"mylo","mylo"
"kasino","kasino"
"fresno","fresno"
"nani azevedo","nani azevedo"
"palavrantiga","palavrantiga"
"restart","restart"
"sandy","sandy"
"marcelo jeneci","marcelo jeneci"
"the mission","the mission"
"blackmores night","blackmores night"
"die toten hosen","die toten hosen"
"il volo","il volo"
"greyson chance","greyson chance"
"latino","latino"
"biohazard","biohazard"
"the vaselines","the vaselines"
"the sound","the sound"
"amy grant","amy grant"
"haddaway","haddaway"
"japan","japan"
"mother love bone","mother love bone"
"vida reluz","vida reluz"
"josh rouse","josh rouse"
"padre reginaldo manzotti","padre reginaldo manzotti"
"nancy ajram","nancy ajram"
"pregador luo","pregador luo"
"selah","selah"
"fernando mendes","fernando mendes"
"desejo de menina","desejo de menina"
"tina charles","tina charles"
"negritude junior","negritude junior"
"accept","accept"
"noel","noel"
"obie trice","obie trice"
"brian wilson","brian wilson"
"olive","olive"
"running wild","running wild"
"dead fish","dead fish"
"pete seeger","pete seeger"
"the magic numbers","the magic numbers"
"mr gyn","mr gyn"
"raimundos","raimundos"
"mxpx","mxpx"
"danielle cristina","danielle cristina"
"new model army","new model army"
"saxon","saxon"
"ventania","ventania"
"amelinha","amelinha"
"rage","rage"
"amado batista","amado batista"
"luiz gonzaga","luiz gonzaga"
"guided by voices","guided by voices"
"shirley carvalhaes","shirley carvalhaes"
"funeral for a friend","funeral for a friend"
"morten harket","morten harket"
"cleiton e camargo","cleiton e camargo"
"the asteroids galaxy tour","the asteroids galaxy tour"
"nicole","nicole"
"goiano paranaense","goiano paranaense"
"tihuana","tihuana"
"sick of it all","sick of it all"
"mastruz com leite","mastruz com leite"
"lacrimosa","lacrimosa"
"mariana aydar","mariana aydar"
"leonardo","leonardo"
"clementina de jesus","clementina de jesus"
"snj","snj"
"luiz caldas","luiz caldas"
"kool moe dee","kool moe dee"
"kerli","kerli"
"barrerito","barrerito"
"kamelot","kamelot"
"carlinhos brown","carlinhos brown"
"daniel","daniel"
"dominguinhos","dominguinhos"
"anvil","anvil"
"yuna","yuna"
"teen top","teen top"
"therion","therion"
"swing simpatia","swing simpatia"
"banda beijo","banda beijo"
"bow wow omarion","bow wow omarion"
"mariza","mariza"
"herbie hancock","herbie hancock"
"susan boyle","susan boyle"
"emperor","emperor"
"tad","tad"
"trio virgulino","trio virgulino"
"gui boratto","gui boratto"
"lyle lovett","lyle lovett"
"jotta a","jotta a"
"mc koringa","mc koringa"
"claudia leitte","claudia leitte"
"da pump","da pump"
"washington brasileiro","washington brasileiro"
"gg allin","gg allin"
"the dells","the dells"
"anggun","anggun"
"the gathering","the gathering"
"down","down"
"moonspell","moonspell"
"astor piazzolla","astor piazzolla"
"anathema","anathema"
"fish","fish"
"seu cuca","seu cuca"
"walmir alencar","walmir alencar"
"chapa c","chapa c"
"mc bola","mc bola"
"pablo","pablo"
"timbalada","timbalada"
"clap your hands say yeah","clap your hands say yeah"
"ana moura","ana moura"
"miriam makeba","miriam makeba"
"jordan knight","jordan knight"
"revolverheld","revolverheld"
"the darkness","the darkness"
"dorival caymmi","dorival caymmi"
"danger danger","danger danger"
"tchakabum","tchakabum"
"mara lima","mara lima"
"raiz coral","raiz coral"
"joca martins","joca martins"
"carcass","carcass"
"george duke","george duke"
"the highwaymen","the highwaymen"
"cine","cine"
"stryper","stryper"
"altemar dutra","altemar dutra"
"duke ellington","duke ellington"
"one night only","one night only"
"deicide","deicide"
"miles davis","miles davis"
"fields of the nephilim","fields of the nephilim"
"finch","finch"
"vanilda bordieri","vanilda bordieri"
"arianne","arianne"
"rasta chinela","rasta chinela"
"kuase nada","kuase nada"
"elba ramalho","elba ramalho"
"j neto","j neto"
"jerry adriani","jerry adriani"
"bathory","bathory"
"os replicantes","os replicantes"
"paulo diniz","paulo diniz"
"superheavy","superheavy"
"samael","samael"
"mattos nascimento","mattos nascimento"
"os 3 do nordeste","os 3 do nordeste"
"gonzaguinha","gonzaguinha"
"diego fernandes","diego fernandes"
"oriente","oriente"
"tribo de jah","tribo de jah"
"teenage fanclub","teenage fanclub"
"brooke fraser","brooke fraser"
"il divo","il divo"
"sandi patty","sandi patty"
"olodum","olodum"
"margareth menezes","margareth menezes"
"fugees","fugees"
"ultraje a rigor","ultraje a rigor"
"master p","master p"
"super furry animals","super furry animals"
"flunk","flunk"
"sunny day real estate","sunny day real estate"
"the get up kids","the get up kids"
"deathstars","deathstars"
"little joy","little joy"
"benito di paula","benito di paula"
"eric donaldson","eric donaldson"
"faithless","faithless"
"catuaba com amendoim","catuaba com amendoim"
"spiritualized","spiritualized"
"savatage","savatage"
"rzo","rzo"
"moacyr franco","moacyr franco"
"freddie mercury","freddie mercury"
"alex band","alex band"
"dog eat dog","dog eat dog"
"pena branca e xavantinho","pena branca e xavantinho"
"nelson sargento","nelson sargento"
"mc orelha","mc orelha"
"riot","riot"
"massacration","massacration"
"christina milian","christina milian"
"napalm death","napalm death"
"the fevers","the fevers"
"wando","wando"
"mono","mono"
"rayssa e ravel","rayssa e ravel"
"mc marcinho","mc marcinho"
"tvxq","tvxq"
"martin solveig","martin solveig"
"grand funk railroad","grand funk railroad"
"tonico e tinoco","tonico e tinoco"
"tony carreira","tony carreira"
"bootsy collins","bootsy collins"
"the pillows","the pillows"
"whodini","whodini"
"dudu nobre","dudu nobre"
"sandy denny","sandy denny"
"sem compromisso","sem compromisso"
"magic box","magic box"
"elias silva","elias silva"
"santanna o cantador","santanna o cantador"
"cantores de deus","cantores de deus"
"candeia","candeia"
"asaph borba","asaph borba"
"mc martinho","mc martinho"
"marianne faithfull","marianne faithfull"
"uverworld","uverworld"
"perfume","perfume"
"son of dork","son of dork"
"toni tornado","toni tornado"
"ride","ride"
"hoodoo gurus","hoodoo gurus"
"trem da alegria","trem da alegria"
"racer x","racer x"
"gloria","gloria"
"emicida","emicida"
"oh land","oh land"
"roberta miranda","roberta miranda"
"babado novo","babado novo"
"prisma brasil","prisma brasil"
"wanderley cardoso","wanderley cardoso"
"tones on tail","tones on tail"
"chicane","chicane"
"wire","wire"
"reinaldo","reinaldo"
"xmal deutschland","xmal deutschland"
"fernanda brum e eyshila","fernanda brum e eyshila"
"kamau","kamau"
"egberto gismonti","egberto gismonti"
"anna tsuchiya","anna tsuchiya"
"yui","yui"
"felipe dylon","felipe dylon"
"rouge","rouge"
"dima bilan","dima bilan"
"bruce dickinson","bruce dickinson"
"face da morte","face da morte"
"heloisa rosa","heloisa rosa"
"harmonia do samba","harmonia do samba"
"inimigos da hp","inimigos da hp"
"trio irakitan","trio irakitan"
"resgate","resgate"
"the cover girls","the cover girls"
"fernanda abreu","fernanda abreu"
"ronnie von","ronnie von"
"elaine de jesus","elaine de jesus"
"good riddance","good riddance"
"leno e lilian","leno e lilian"
"brujeria","brujeria"
"jairo lambari fernandes","jairo lambari fernandes"
"mark lanegan","mark lanegan"
"arautos do rei","arautos do rei"
"elton medeiros","elton medeiros"
"dalva de oliveira","dalva de oliveira"
"swans","swans"
"verano del 98","verano del 98"
"walter franco","walter franco"
"charlie feathers","charlie feathers"
"the underdog project","the underdog project"
"milk inc","milk inc"
"all","all"
"dunga","dunga"
"leila pinheiro","leila pinheiro"
"alien sex fiend","alien sex fiend"
"roger waters","roger waters"
"madball","madball"
"vencedores por cristo","vencedores por cristo"
"luiz de carvalho","luiz de carvalho"
"bia bedran","bia bedran"
"armando filho","armando filho"
"dalto","dalto"
"kid abelha","kid abelha"
"babymetal","babymetal"
"bill monroe","bill monroe"
"pedro mariano","pedro mariano"
"gene loves jezebel","gene loves jezebel"
"gilliard","gilliard"
"enuff znuff","enuff znuff"
"albert king","albert king"
"yves larock","yves larock"
"prefab sprout","prefab sprout"
"edson gomes","edson gomes"
"manitu","manitu"
"peter paul and mary","peter paul and mary"
"novo som","novo som"
"tyketto","tyketto"
"sid","sid"
"psirico","psirico"
"hyldon","hyldon"
"cristina mel","cristina mel"
"bob rum","bob rum"
"nelson","nelson"
"ken hirai","ken hirai"
"voices","voices"
"big mountain","big mountain"
"jair pires","jair pires"
"garotos podres","garotos podres"
"paul van dyk","paul van dyk"
"agnus dei","agnus dei"
"roberto ribeiro","roberto ribeiro"
"clan of xymox","clan of xymox"
"the vibrators","the vibrators"
"naldo","naldo"
"beto guedes","beto guedes"
"angela maria","angela maria"
"sarah brightman","sarah brightman"
"renato teixeira","renato teixeira"
"grupo logos","grupo logos"
"gerson king combo","gerson king combo"
"destruction","destruction"
"incognito","incognito"
"mudhoney","mudhoney"
"the exploited","the exploited"
"liz lanne","liz lanne"
"catedral","catedral"
"luiza possi","luiza possi"
"behemoth","behemoth"
"take 6","take 6"
"victoria beckham","victoria beckham"
"gabry ponte","gabry ponte"
"jimmy reed","jimmy reed"
"the meteors","the meteors"
"eliana","eliana"
"ray conniff","ray conniff"
"teixeirinha","teixeirinha"
"crystal kay","crystal kay"
"do as infinity","do as infinity"
"roberto leal","roberto leal"
"wilson das neves","wilson das neves"
"tiririca","tiririca"
"nana caymmi","nana caymmi"
"dazaranha","dazaranha"
"marcelo nascimento","marcelo nascimento"
"hironobu kageyama","hironobu kageyama"
"antonio marcos","antonio marcos"
"dir en grey","dir en grey"
"manu gavassi","manu gavassi"
"alessandra samadello","alessandra samadello"
"chiquititas","chiquititas"
"the ventures","the ventures"
"renato e seus blue caps","renato e seus blue caps"
"mara maravilha","mara maravilha"
"youssou ndour","youssou ndour"
"sivuca","sivuca"
"hillsong kids","hillsong kids"
"orlando silva","orlando silva"
"fates warning","fates warning"
"jon anderson","jon anderson"
"mika nakashima","mika nakashima"
"kim","kim"
"mikuni shimokawa","mikuni shimokawa"
"above beyond","above beyond"
"moreira da silva","moreira da silva"
"aracy de almeida","aracy de almeida"
"ofra haza","ofra haza"
"rosa passos","rosa passos"
"jackson do pandeiro","jackson do pandeiro"
"carlos galhardo","carlos galhardo"
"orlando morais","orlando morais"
"dona ivone lara","dona ivone lara"
"sylvia telles","sylvia telles"
"boca livre","boca livre"
"alvin the chipmunks","alvin the chipmunks"
"genival lacerda","genival lacerda"
"carlos lyra","carlos lyra"
"screamin jay hawkins","screamin jay hawkins"
"ismael silva","ismael silva"
"trio nordestino","trio nordestino"
"agostinho dos santos","agostinho dos santos"
"carmen miranda","carmen miranda"
"feliciano amaral","feliciano amaral"
"hank snow","hank snow"
"ataulfo alves","ataulfo alves"
"velha guarda da portela","velha guarda da portela"
"golden boys","golden boys"
"francisco alves","francisco alves"
"leny andrade","leny andrade"
"vicente celestino","vicente celestino"
"miltinho","miltinho"
"mississippi john hurt","mississippi john hurt"
"ronnie self","ronnie self"
"ward thomas","ward thomas"
"abbey lincoln","abbey lincoln"
"noel rosa","noel rosa"
"cash cash","cash cash"
